Var1,Var2,Var3
,0,0
,0,0
1-5in_1-5us_250mmps (2)_data,0.523853564547206,1.60195555555556
1-5in_1-5us_250mmps(1)_data,0.852660244059089,2.24817777777778
1-5in_1-5us_250mmps_data,0.852660244059089,2.24817777777778
1-5in_1-5us_65mmps_data,0.215432241490045,1.28728888888889
1-5in_1-5us_diag_100mmps_data,0.508132562620424,1.62293333333333
1-5in_1-5us_diag_250mmps_data,0.92748978805395,2.00106666666667
1-5in_1-5zv_250mmps (2)_data,0.179594605009635,1.2448
1-5in_1-5zv_250mmps_2_data,0.179156326268465,1.24568888888889
1-5in_1-5zv_250mmps_data,0.745728452151575,2.11555555555556
1-5in_1-5zvd_250mmps_data,0.18963655913978,1.57386666666667
1-5in_1-5zvd_diag_250mmps_data,0.29611098265896,1.40302222222222
1-5in_1-5zvdm_diag_250mmps_data,0.235114193962749,1.34915555555556
1in_1-5us_100mmps_data,0.170259139784946,1.12995555555556
1in_1-5us_250mmps_data,0.493235483870968,1.43964444444444
1in_1-5zv_100mmps_data,-0.0553179211469522,1.02791111111111
1in_1-5zv_250mmps_data,0.301051254480285,1.19395555555556
1in_1-5zvd_250mmps_data,1.0805376344086,2.86222222222222
2in_1-5us_250mmps_data,0.406002825947334,2.28782222222222
2in_1-5zv_250mmps_data,0.238551059730253,2.20604444444444
2in_1-5zvd_250mmps_data,0.142310597302507,2.05546666666667
